exp_id,exp_desc,algo,params,test_rmse,train_rmse,train_time
7031,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.4502802751626617, 'learning_rate': 0.019489361935640145, 'min_child_weight': 150, 'min_split_gain': 0.3161247078891456, 'n_estimators': 600, 'num_leaves': 98, 'reg_alpha': 0.2731577890527488, 'reg_lambda': 0.1794926339485458, 'subsample_for_bin': 140000.0, 'subsample': 0.5140715148166831}",3.66875862176265,3.4479174315277383,49.11646630499945
6573,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.45163649058784333, 'learning_rate': 0.025312112467708283, 'min_child_weight': 150, 'min_split_gain': 0.3385389094590445, 'n_estimators': 600, 'num_leaves': 98, 'reg_alpha': 0.09946852156913685, 'reg_lambda': 0.22638177353958938, 'subsample_for_bin': 160000.0, 'subsample': 0.44062043695772524}",3.668623351263051,3.4773469236054724,39.68121352900016
9241,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.5361434375333792, 'learning_rate': 0.026677574132656572, 'min_child_weight': 150, 'min_split_gain': 0.06812487546449492, 'n_estimators': 800, 'num_leaves': 66, 'reg_alpha': 0.09203224028535997, 'reg_lambda': 0.26400382214433005, 'subsample_for_bin': 160000.0, 'subsample': 0.31672682901641636}",3.6708256564895505,3.520454974219041,34.592764177999925
820,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.4927402641764218, 'learning_rate': 0.030626531380057845, 'min_child_weight': 105, 'min_split_gain': 0.32433568626234605, 'n_estimators': 600, 'num_leaves': 165, 'reg_alpha': 0.0016450783344790637, 'reg_lambda': 0.10453214328293453, 'subsample_for_bin': 180000.0, 'subsample': 0.5800440178595136}",3.6731348204823946,3.3903570901390507,37.86037778699938
6538,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.4394272914513064, 'learning_rate': 0.03824990517197335, 'min_child_weight': 130, 'min_split_gain': 0.34943762225851294, 'n_estimators': 700, 'num_leaves': 124, 'reg_alpha': 0.12611491700053684, 'reg_lambda': 0.37060872491371094, 'subsample_for_bin': 120000.0, 'subsample': 0.216921025046923}",3.676925975226123,3.551536238713127,29.5820819999999
3721,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.5518439204017672, 'learning_rate': 0.04701809767426307, 'min_child_weight': 160, 'min_split_gain': 0.6491849882169569, 'n_estimators': 600, 'num_leaves': 185, 'reg_alpha': 0.22896329595706, 'reg_lambda': 0.22844366544296782, 'subsample_for_bin': 240000.0, 'subsample': 0.5455437702259316}",3.6710951040077284,3.4751041798395605,33.441944283999874
5690,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.5945550972187384, 'learning_rate': 0.024213167228638352, 'min_child_weight': 140, 'min_split_gain': 0.1314063699336111, 'n_estimators': 800, 'num_leaves': 97, 'reg_alpha': 0.3766989984822075, 'reg_lambda': 0.3675308213038543, 'subsample_for_bin': 200000.0, 'subsample': 0.43479731986639}",3.6695905543915943,3.4726733964629575,42.22808776099919
8575,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.4955541785346151, 'learning_rate': 0.03213875306098552, 'min_child_weight': 190, 'min_split_gain': 0.37023681206434206, 'n_estimators': 500, 'num_leaves': 62, 'reg_alpha': 0.5867839921579707, 'reg_lambda': 0.0652372034908352, 'subsample_for_bin': 140000.0, 'subsample': 0.6541255047607817}",3.666157788403439,3.4646979802170237,34.43939163899995
3740,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.40058747584419724, 'learning_rate': 0.05631817967685548, 'min_child_weight': 190, 'min_split_gain': 0.6027217451853626, 'n_estimators': 500, 'num_leaves': 56, 'reg_alpha': 0.6997428325179926, 'reg_lambda': 0.06790900090604068, 'subsample_for_bin': 140000.0, 'subsample': 0.6572031607767594}",3.6694583794287703,3.5021688516347895,21.46852619600031
808,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.5088114490718458, 'learning_rate': 0.08200303611911282, 'min_child_weight': 195, 'min_split_gain': 0.26598814869551224, 'n_estimators': 400, 'num_leaves': 43, 'reg_alpha': 0.5429950444996084, 'reg_lambda': 0.14183799192313434, 'subsample_for_bin': 100000.0, 'subsample': 0.8521354332607393}",3.671468963678846,3.4776170177766113,19.49529976699978
1717,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.5650906632080922, 'learning_rate': 0.03353234209056957, 'min_child_weight': 165, 'min_split_gain': 0.50726416526671, 'n_estimators': 500, 'num_leaves': 65, 'reg_alpha': 0.7146017036532004, 'reg_lambda': 0.8713315757156619, 'subsample_for_bin': 220000.0, 'subsample': 0.862395355482988}",3.6655674253512758,3.421687699585933,37.219731295999736
9738,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'dart', 'colsample_bytree': 0.6886707277089305, 'learning_rate': 0.040347582321681674, 'min_child_weight': 170, 'min_split_gain': 0.5063255613963972, 'n_estimators': 100, 'num_leaves': 68, 'reg_alpha': 0.70383132445622, 'reg_lambda': 0.8709348280095288, 'subsample_for_bin': 260000.0, 'subsample': 0.6300243096567232}",3.6989986922212723,3.641853044518099,20.477045308000015
1300,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.61823382451075, 'learning_rate': 0.010729282543879792, 'min_child_weight': 200, 'min_split_gain': 0.1253282278816521, 'n_estimators': 300, 'num_leaves': 40, 'reg_alpha': 0.8932423551683248, 'reg_lambda': 0.9279977953875527, 'subsample_for_bin': 220000.0, 'subsample': 0.6553887033147014}",3.678532571693887,3.6094963667613897,29.062242598999546
1631,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'dart', 'colsample_bytree': 0.5561903033657609, 'learning_rate': 0.05601900669723697, 'min_child_weight': 185, 'min_split_gain': 0.40156989181213154, 'n_estimators': 400, 'num_leaves': 56, 'reg_alpha': 0.5709918907398293, 'reg_lambda': 0.8173080272423557, 'subsample_for_bin': 280000.0, 'subsample': 0.9975429789080663}",3.67109351831778,3.4703290550586368,109.48309462199995
9930,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'goss', 'colsample_bytree': 0.7151168041744715, 'learning_rate': 0.1521530617652826, 'min_child_weight': 120, 'min_split_gain': 0.711794822786948, 'n_estimators': 500, 'num_leaves': 34, 'reg_alpha': 0.721039318162868, 'reg_lambda': 0.5191603218035186, 'subsample_for_bin': 240000.0, 'subsample': 1.0}",3.710511331539943,3.6411489300227347,10.620238454000173
2782,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.587676154924533, 'learning_rate': 0.014201984279775655, 'min_child_weight': 170, 'min_split_gain': 0.5500462263117855, 'n_estimators': 400, 'num_leaves': 67, 'reg_alpha': 0.8444814979931371, 'reg_lambda': 0.6499162462736332, 'subsample_for_bin': 200000.0, 'subsample': 0.8872790076048401}",3.666643667106222,3.484009601700231,48.0602495410003
9620,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'dart', 'colsample_bytree': 0.4296566240963746, 'learning_rate': 0.1141505324379768, 'min_child_weight': 160, 'min_split_gain': 0.0016338904021721001, 'n_estimators': 700, 'num_leaves': 59, 'reg_alpha': 0.6506256475026332, 'reg_lambda': 0.7933664508748087, 'subsample_for_bin': 220000.0, 'subsample': 0.7879639776965218}",3.685000179758214,3.5204482324666744,56.026131815000554
